num,source_name,domain,visits,num_articles
1,CTV News,ctvnews.ca,23140000,89
5,Toronto Star,thestar.com,6320000,24
6,City News,citynews.ca,5560000,21
7,CP24,cp24.com,5230000,20
9,Daily Hive,dailyhive.com,3730000,14
