title,description,source,date
Canada returned to approved list for Chinese group travellers,"Canada on Tuesday welcomed its reinstatement to the approved travel list for groups of Chinese tourists by Beijing, which comes days after Prime Minister Mark C...",cbc.ca,2025-11-04T12:44:22.000000Z
Trump again floats Canada joining the U.S. as the 51st state,U.S. President Donald Trump said Tuesday he again told some unnamed Canadian official that the country should consider joining the U.S. as the 51st state — r...,cbc.ca,2025-09-30T16:49:52.000000Z
At Issue | Liberal plan to save Canada Post sparks backlash,At Issue this week: Canada Post workers go back on strike after the Liberals unveil a plan to save it from its ‘existential crisis.’ The Conservatives call ...,cbc.ca,2025-09-26T01:44:31.000000Z
Poilievre’s back. Now what? | About That,Pierre Poilievre is heading back to Ottawa as Opposition leader following his byelection win. Anand Ram explains the path ahead for the Conservative leader as h...,cbc.ca,2025-08-26T19:09:08.000000Z
