num,source_name,domain,visits,num_articles
0,CBC,cbc.ca,37800000,145
1,CTV News,ctvnews.ca,23140000,89
2,NY Times,nytimes.com,21750000,84
3,Global News,globalnews.ca,10440000,40
4,The Guardian,theguardian.com,7990000,31
5,Toronto Star,thestar.com,6320000,24
6,City News,citynews.ca,5560000,21
7,CP24,cp24.com,5230000,20
8,Fox News,foxnews.com,4440000,17
9,Daily Hive,dailyhive.com,3730000,14
10,National Post,nationalpost.com,3540000,14
