num,source_name,domain,visits,quota,num_articles
0,CBC,cbc.ca,37800000,145,200
1,Global News,globalnews.ca,10440000,40,60
2,Fox News,foxnews.com,4440000,17,40
3,National Post,nationalpost.com,3540000,14,40
