title	description	source	date	open_coding_topic	sentiment	sentimental_words
Canadian PM Carney challenges Trump to bet on Dodgers vs Blue Jays World Series: 'He's afraid'	Canadian Prime Minister Mark Carney challenged President Donald Trump to a World Series bet, predicting Toronto Blue Jays will beat Los Angeles Dodgers in six g...	foxnews.com	2025-10-24T00:00:23.000000Z	Personal	Neutral	
With federal election looming, Liberal Canadian PM accused of plagiarism while studying at Oxford: report	Prime Minister Mark Carney is embroiled in controversy after a Canadian news outlet discovered at least 10 instances of possible plagiarism in his 1995 Oxford t...	foxnews.com	2025-03-30T02:42:49.000000Z	Personal	Negative	accused of plagiarism
Mark Carney sends Trump a dig ahead of Toronto Blue Jays World Series	Canadian Prime Minister Mark Carney has been hyping up the Toronto Blue Jays to Donald Trump. Less than 24 hours after the Blue Jays punched their ticket to the World Series, Carney was stopped by a Canadian Press journalist on Tuesday morning to get his thoughts. The Prime Minister is an avid sports fan and was visibly excited to answer a question about the Jays.	dailyhive.com	2025-10-21T12:00:00-05:00	Personal	Neutral	
Brookfield executive questioned at ethics committee about Carney’s corporate connections	Brookfield Corporation’s chief operating officer agreed Prime Minister Mark Carney likely wouldn’t have as many conflicts to manage if he had sold off his a...	cbc.ca	2025-11-24T20:51:27.000000Z	Personal	Negative	Questioned about corporate connections
After exodus of major banks,Mark Carney-launched net-zero alliance shuts down	A global banking group that Prime Minister Mark Carney helped launch in 2021 to fight climate change has voted to shut down.	cbc.ca	2025-10-03T23:04:45.000000Z	Personal	Negative	shut down
POV: Running a race with Mark Carney	Agnes Jung tells CBC’s The National about The Moment she was surprised to see Prime Minister Mark Carney running the Haliburton Forest Trail Race in Ontario.	cbc.ca	2025-09-10T20:50:41.000000Z	Personal	Neutral	
