index,title,description,source,date,open_coding_topic,sentiment,sentimental_words
339,"Tariffs May Make It Too Expensive to ‘Drill,Baby,Drill’","President Trump’s tariff polices have sent oil prices falling,which may push energy companies to reconsider their plans to drill.",nytimes.com,2025-04-08T19:27:07Z,International,Neutral,
149,Carney: No ‘burning issue’ to bring up with Trump,JOHANNESBURG — Prime Minister Mark Carney is in no hurry to resume trade talks with U.S. President Donald Trump but ...,cp24.com,2025-11-23T19:04:41.000000Z,International,Neutral,
10,Mark Carney wins Liberal Party nomination to replace Trudeau as Canada's next PM,The Liberal Party's new leader Mark Carney is expected to call a general election for late April or early May where he will go up against Conservative leader Pi...,foxnews.com,2025-03-09T23:00:40.000000Z,Election,Positive,"wins,nomination"
466,Carney heads to Mexico in search of an ally — and opportunities,Canada's relationship with Mexico took a hit last fall when some politicians responded to talk of tariffs from president-elect Donald Trump by suggesting that M...,cbc.ca,2025-09-18T09:00:00.000000Z,International,Neutral,
202,Murphy’s Logic: Lots of spending with little enthusiasm,His minority government may have survived but… Mark Carney’s first budget as prime minister hasn’t ...,ctvnews.ca,2025-11-20T12:00:00-05:00,National,Negative,"little enthusiasm"
311,Trump Surprises Canada With a New Message: We Love You,"President Trump played nice when he came face-to-face with the new prime minister of Canada,the country he has spent months belittling.",nytimes.com,2025-05-06T22:23:24Z,International,Neutral,
60,Carney attacked over 'who cares' remark,"Opposition figures accuse the Prime Minister of being dismissive of those affected by the trade war,after Mark Carney said 'who cares' in response to questions about when was the last time,he spoke with U.S. President Donald Trump.",citynews.ca,2025-11-24T18:41:00-05:00,International,Negative,"attacked,accuse,dismissive"
376,"Danielle Smith supportive of new major projects,says pipeline negotiation ongoing",Prime Minister Mark Carney announced Thursday that seven additional major energy and infrastructure projects were being referred to his government's major proje...,cbc.ca,2025-11-14T00:08:03.000000Z,National,Positive,"supportive"
296,Can Canada Offset Trump’s Tariff War With More Domestic Trade?,Prime Minister Mark Carney will meet his pledge to eliminate the country’s internal trade barriers by July 1. But economists say it’s not a substitute for lost U.S. trade.,nytimes.com,2025-06-30T09:02:31Z,National,Negative,"not a substitute"
406,MPs urge Carney government to release special agency governing documents,Opposition MPs are calling on Prime Minister Mark Carney’s government to make public the documents that govern three special agencies it has created to manage...,cbc.ca,2025-10-30T09:00:00.000000Z,National,Neutral,
177,CTV National News: Carney considering Washington trip as Canada-U.S. relations remain stagnant,,ctvnews.ca,2025-11-24T12:00:00-05:00,International,Neutral,
190,"PM Carney meets with Indian PM Modi on trade,economic relations,more",,ctvnews.ca,2025-11-23T12:00:00-05:00,International,Neutral,
82,Carney launches Build Canada Homes entity with initial $13-billion investment,"Prime Minister Mark Carney has formally announced the launch of Build Canada Homes (BCH),a brand-new federal housing agency with an ambitious mandate to double housing construction,restore affordability,and reduce homelessness across the country.",dailyhive.com,2025-09-15T12:00:00-05:00,National,Positive,"launch,brand-new,ambitious"
412,Carney pitches Canada as 'reliable' to ASEAN as Trump threatens more tariffs,Prime Minister Mark Carney addressed South Asian leaders on Sunday about the importance of “reliable partners who honour their commitments.”,cbc.ca,2025-10-26T09:00:00.000000Z,International,Neutral,
