	title	description	source	date	open_coding_topic	sentiment	sentimental_words
145	Carney considering trip to Washington after dismissing question about his last contact with Trump	Less than 48 hours after Prime Minister Mark Carney dismissed a question about when he had last spoken with U.S. ...	cp24.com	2025-11-24T19:04:41.000000Z	International	Negative	Carney dismissed a question
146	‘He should care’: Conservatives slam Carney on Trump comments	OTTAWA — Conservative MPs slammed Prime Minister Mark Carney Monday over dismissive comments he made recently when asked about stalled ...	cp24.com	2025-11-24T19:04:41.000000Z	International	Negative	Conservative MPs slammed Prime Minister Mark Carney Monday over dismissive comments
147	MPs swipe at Carney’s claim that Canada has no feminist foreign policy	Prime Minister Mark Carney’s claim that Canada does not have a “feminist foreign policy” spilled into the political arena Monday, ...	cp24.com	2025-11-24T19:04:41.000000Z	National	Negative	MPs swipe at Carney’s claim
148	Carney says Canada and India can be ‘reliable trading partners’	The prime ministers of Canada and India have agreed to launch negotiations towards a new Comprehensive Economic Partnership Agreement (CEPA). ...	cp24.com	2025-11-23T19:04:41.000000Z	International	Positive	towards a new Comprehensive Economic Partnership Agreement
149	Carney: No ‘burning issue’ to bring up with Trump	JOHANNESBURG — Prime Minister Mark Carney is in no hurry to resume trade talks with U.S. President Donald Trump but ...	cp24.com	2025-11-23T19:04:41.000000Z	International	Neutral	
150	Carney says Canada upholding values but drops talk of ‘feminist foreign policy’	JOHANNESBURG — Prime Minister Mark Carney says Canada no longer has a feminist foreign policy, but still wants to uphold ...	cp24.com	2025-11-23T19:04:41.000000Z	International	Neutral	
151	Carney in South Africa as concerns grow over U.S. boycott of G20	Prime Minister Mark Carney is in South Africa for a G20 summit overshadowed by a U.S. boycott — and as ...	cp24.com	2025-11-21T19:04:41.000000Z	International	Neutral	
152	Canada cuts back spending on fighting infectious diseases at G20 in South Africa	Prime Minister Mark Carney has made Canada’s first-ever cut to funding for a major program for fighting infectious diseases in ...	cp24.com	2025-11-21T19:04:41.000000Z	International	Negative	Canada’s first-ever cut to funding for a major program for fighting infectious diseases
153	Carney wraps United Arab Emirates visit with pledge of $70B to be invested in Canada	ABU DHABI — Prime Minister Mark Carney says Ottawa is working on a $1-billion project aimed at expanding critical minerals ...	cp24.com	2025-11-21T19:04:41.000000Z	International	Positive	pledge of 70B
154	Carney signs UAE investment pact, launches trade talks during Abu Dhabi visit	Prime Minister Mark Carney signed an investment-protection agreement Thursday with the United Arab Emirates during a visit to Abu Dhabi ...	cp24.com	2025-11-20T19:04:41.000000Z	International	Positive	Agreement
155	Carney to sign investment agreement,launch Canada-United Arab Emirates trade talks: official	ABU DHABI – Prime Minister Mark Carney intends to sign a long-negotiated investment agreement,as well as begin launching talks ...	cp24.com	2025-11-19T19:04:41.000000Z	International	Positive	sign a long-negotiated investment agreement
156	Premiers say they had positive meeting with PM, hint that tariff relief is coming	OTTAWA — New Brunswick Premier Susan Holt said premiers had a “productive” meeting with Prime Minister Mark Carney on Monday, ...	cp24.com	2025-11-18T19:04:41.000000Z	National	Positive	“productive” meeting with Prime Minister Mark Carney
157	‘Gas-for-wine’: South Africa seeks deal to boost trade, investment with Canada	OTTAWA — As Prime Minister Mark Carney heads to Johannesburg for the G20 summit, Canada and South Africa are talking ...	cp24.com	2025-11-18T19:04:41.000000Z	International	Neutral	
158	Minority Liberals narrowly survive high-stakes confidence vote, fending off holiday election	Prime Minister Mark Carney’s minority Liberal government narrowly survived its third confidence vote in as many weeks on Monday, passing ...	cp24.com	2025-11-17T19:04:41.000000Z	National	Negative	Narrowly survived
159	Prime Minister Mark Carney met with cheers and boos at 112th Grey Cup game	WINNIPEG — Prime Minister Mark Carney was on hand in Winnipeg for the 112th Grey Cup game between the Saskatchewan ...	cp24.com	2025-11-16T19:04:41.000000Z	Public Relations	Negative	Cheers and Boos
160	Carney visits Riderville ahead of 2025 Grey Cup	On the eve of the most important game in Canadian football, fans across the country are surely wishing they could ...	cp24.com	2025-11-16T19:04:41.000000Z	Public Relations	Neutral	
161	Carney plans to see Trump next week in Washington	OTTAWA - Prime Minister Mark Carney will travel to Washington next week and plans to ...	ctvnews.ca	2025-11-26T12:00:00-05:00	International	Neutral	
162	Carney announces new supports for Canada’s lumber, steel sectors	OTTAWA — Amid the ongoing trade war with the United States, Prime Minister Mark Carney ...	ctvnews.ca	2025-11-26T12:00:00-05:00	International	Neutral	
163	‘A move in the right direction’: Harrow steel tycoon pleased with Ottawa clawing back imports	Prime Minister Mark Carney has announced new measures to limit the amount of steel imports ...	ctvnews.ca	2025-11-26T12:00:00-05:00	National	Positive	A move in the right direction
164	PM Carney announces new measures to protect steel, lumber industries		ctvnews.ca	2025-11-26T12:00:00-05:00	National	Positive	protect steel, lumber industries
165	Carney confirms he'll see Trump during FIFA draw in D.C.		ctvnews.ca	2025-11-26T12:00:00-05:00	International	Neutral	
166	Ottawa faces 'bad options' as Carney balances pipeline politics and steel sector turmoil		ctvnews.ca	2025-11-26T12:00:00-05:00	National	Negative	bad options,turmoil
167	Carney meets with new Newfoundland and Labrador premier on ‘ambitious agenda’	ST. JOHN’S — Newfoundland and Labrador’s new premier is meeting with Prime Minister Mark Carney. ...	ctvnews.ca	2025-11-26T12:00:00-05:00	National	Neutral	
168	Carney to announce help for softwood, steel industries		ctvnews.ca	2025-11-26T12:00:00-05:00	National	Positive	announce help
169	Trade war update: Carney’s Liberals to announce steel, lumber protections, sources say	Help is on the way for Canadian steel producers and those in softwood lumber affected ...	ctvnews.ca	2025-11-26T12:00:00-05:00	International	Positive	protections, Help is on the way
170	PM Carney to unveil new measures to protect Canada’s steel industry: sources		ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
171	Carney says B.C. ‘has to agree’ on pipeline plan from Alberta	OTTAWA — British Columbia “has to agree” on any pipeline from Alberta to the Pacific ...	ctvnews.ca	2025-11-25T12:00:00-05:00Z	National	Neutral	
172	Manitoba Premier Kinew asks PM Carney for sentencing, parole overhaul	WINNIPEG — Manitoba Premier Wab Kinew has asked the prime minister for stiffer sentences for ...	ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
173	Carney says his comment about speaking with Trump was a ‘poor choice of words’	OTTAWA — Prime Minister Mark Carney said Tuesday his recent reply to a question about ...	ctvnews.ca	2025-11-25T12:00:00-05:00	International	Negative	poor choice of words
174	'That was a poor choice of words': PM Carney on 'who cares?' comment on trade ...		ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
175	Newfoundland is ‘back in the oil business,’ new premier vows ahead of Carney meeting	ST. JOHN’S — Newfoundland and Labrador Premier Tony Wakeham says he is heading to Ottawa ...	ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
176	Eby tells Carney it was ‘unacceptable’ for B.C. to be excluded in proposed pipeline talks	B.C. Premier David Eby says he wants any potential energy deal between Alberta and the ...	ctvnews.ca	2025-11-25T12:00:00-05:00	National	Negative	unacceptable
177	CTV National News: Carney considering Washington trip as Canada-U.S. relations remain stagnant		ctvnews.ca	2025-11-24T12:00:00-05:00	Internaional	Neutral	
178	Carney considering Washington trip as Canada-U.S. relations remain stagnant		ctvnews.ca	2025-11-24T12:00:00-05:00	International	Neutral	
179	Tough stance or just annoyed? Front Bench on PM Carney's comments on Canada-U.S. talks		ctvnews.ca	2025-11-24T12:00:00-05:00	International	Negative	Tough stance or just annoyed?
